Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase,CTR,Conversion_Rate
Sennheiser HD 400s,2024-03-01,4626,50513,25641,3983,1583,1056,681,334,7.89,8.39
JBL Tune 520BT,2024-03-01,3982,63920,46272,5083,2848,2046,1021,495,7.95,9.74
EPOS PC 8 USB A,2024-03-01,4437,41482,32564,4061,1931,1231,1181,579,9.79,14.26
Boat Rockerz 550,2024-03-01,2474,86160,47480,6379,3474,2084,1964,524,7.4,8.21
Sennheiser HD 400s,2024-03-02,4654,66634,46508,5689,2497,1874,1472,942,8.54,16.56
JBL Tune 520BT,2024-03-02,3276,70831,56599,7220,2815,2377,1822,825,10.19,11.43
EPOS PC 8 USB A,2024-03-02,4411,76815,37493,5959,2926,1556,1556,607,7.76,10.19
Boat Rockerz 550,2024-03-02,2201,65007,57507,5752,3089,2700,1452,683,8.85,11.87
Sennheiser HD 400s,2024-03-03,3837,68923,43469,4750,3012,1567,1092,751,6.89,15.81
JBL Tune 520BT,2024-03-03,2564,94142,61143,6426,3331,2172,2172,585,6.83,9.1
EPOS PC 8 USB A,2024-03-03,3418,68113,43833,6095,2496,1474,1004,535,8.95,8.78
Boat Rockerz 550,2024-03-03,3056,70924,61521,7716,3708,2096,2077,936,10.88,12.13
Sennheiser HD 400s,2024-03-04,4112,41232,33983,3215,1993,934,789,430,7.8,13.37
JBL Tune 520BT,2024-03-04,2706,74101,46794,6112,3125,2338,1244,437,8.25,7.15
EPOS PC 8 USB A,2024-03-04,3484,53835,38898,4467,2663,1437,1437,356,8.3,7.97
Boat Rockerz 550,2024-03-04,3266,69155,45289,4806,2556,2015,1526,633,6.95,13.17
Sennheiser HD 400s,2024-03-05,4854,63728,40150,4923,2296,1445,999,529,7.73,10.75
JBL Tune 520BT,2024-03-05,3132,47627,34055,3771,1966,1449,1239,534,7.92,14.16
EPOS PC 8 USB A,2024-03-05,3683,32939,24300,4090,1679,1434,1099,414,12.42,10.12
Boat Rockerz 550,2024-03-05,2441,82494,56357,6708,2624,2510,1843,544,8.13,8.11
Sennheiser HD 400s,2024-03-06,3719,54464,28541,4864,1872,1465,1111,393,8.93,8.08
JBL Tune 520BT,2024-03-06,3939,57569,40359,4403,2287,1595,1362,633,7.65,14.38
EPOS PC 8 USB A,2024-03-06,3197,45288,42959,4267,1990,1844,1026,435,9.42,10.19
Boat Rockerz 550,2024-03-06,2659,51740,46757,4387,2277,1888,1025,489,8.48,11.15
Sennheiser HD 400s,2024-03-07,4428,68869,38879,4403,2323,2000,1382,489,6.39,11.11
JBL Tune 520BT,2024-03-07,2762,68212,43953,4625,2792,2098,959,781,6.78,16.89
EPOS PC 8 USB A,2024-03-07,4060,48589,39408,4591,1852,1811,986,422,9.45,9.19
Boat Rockerz 550,2024-03-07,2627,66549,42689,5828,2258,1816,1202,501,8.76,8.6
Sennheiser HD 400s,2024-03-08,4413,53369,31524,3458,2258,1227,1227,414,6.48,11.97
JBL Tune 520BT,2024-03-08,3315,45830,37962,5024,2029,1302,928,404,10.96,8.04
EPOS PC 8 USB A,2024-03-08,3469,69364,33673,4578,2746,1318,1135,746,6.6,16.3
Boat Rockerz 550,2024-03-08,2026,73659,55171,5448,2888,1936,1522,736,7.4,13.51
Sennheiser HD 400s,2024-03-09,4715,71163,47616,4443,2490,1793,1209,435,6.24,9.79
JBL Tune 520BT,2024-03-09,3560,76779,42931,5023,2571,1765,1682,500,6.54,9.95
EPOS PC 8 USB A,2024-03-09,3252,84980,45886,6494,2896,2106,1299,439,7.64,6.76
