Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase
Legion 5 Gen 10,2024-03-01,11126,113402,67526,7761,4284,3419,2087,434
Lenovo LOQ Gen 10,2024-03-01,8830,167738,115933,13738,7082,4006,3201,1032
Apple 2025 MacBook Air,2024-03-01,11805,110682,79060,7831,3717,3626,1928,701
HP Omen,2024-03-01,11084,133066,104311,10272,5701,3764,2878,774
Legion 5 Gen 10,2024-03-02,10562,148437,98959,13247,6731,5058,2781,981
Lenovo LOQ Gen 10,2024-03-02,9797,160231,110806,12833,4977,4065,3279,1057
Apple 2025 MacBook Air,2024-03-02,12390,146275,107170,8179,4308,4191,2826,522
HP Omen,2024-03-02,10913,181215,131681,12964,6484,4610,3498,710
Legion 5 Gen 10,2024-03-03,10269,166303,110793,11726,6341,4166,3191,893
Lenovo LOQ Gen 10,2024-03-03,9291,132851,88445,8598,4543,4129,2087,546
Apple 2025 MacBook Air,2024-03-03,11520,151282,104920,11471,6192,4945,2698,648
HP Omen,2024-03-03,9878,151205,102012,12229,6024,3552,2160,730
Legion 5 Gen 10,2024-03-04,11056,119085,89310,9482,4671,3012,2414,835
Lenovo LOQ Gen 10,2024-03-04,10262,114767,76356,8188,3970,3467,1818,659
Apple 2025 MacBook Air,2024-03-04,11206,118491,84265,7286,3930,3487,1911,458
HP Omen,2024-03-04,9730,100411,84015,6919,4181,2860,1599,667
Legion 5 Gen 10,2024-03-05,10577,143537,98441,11723,5257,4441,2652,595
Lenovo LOQ Gen 10,2024-03-05,10163,125075,93144,9245,5044,3134,2056,863
Apple 2025 MacBook Air,2024-03-05,11627,99966,69051,6450,4166,3291,1797,599
HP Omen,2024-03-05,10183,97802,67644,7720,4477,3429,2021,475
Legion 5 Gen 10,2024-03-06,11291,143146,93732,9855,5776,4040,1922,701
Lenovo LOQ Gen 10,2024-03-06,10089,126515,91332,10989,5655,4375,2062,724
Apple 2025 MacBook Air,2024-03-06,11246,120812,99750,7570,4947,2756,1997,687
HP Omen,2024-03-06,11133,122164,84764,10921,4181,3614,2014,607
Legion 5 Gen 10,2024-03-07,11794,116795,70575,8484,3751,3723,2353,550
Lenovo LOQ Gen 10,2024-03-07,8988,159977,114522,11262,5263,3919,3181,751
Apple 2025 MacBook Air,2024-03-07,12969,136177,100253,9612,3985,3112,2322,502
HP Omen,2024-03-07,9753,159190,100796,11310,5984,4642,2791,891
Legion 5 Gen 10,2024-03-08,10053,115119,80884,8402,5217,3869,1934,525
Lenovo LOQ Gen 10,2024-03-08,9009,139456,108370,11426,6496,4392,3091,977
Apple 2025 MacBook Air,2024-03-08,12743,114386,79939,6431,4583,2964,1704,607
HP Omen,2024-03-08,10915,122070,75285,7507,4218,3664,2268,779
Legion 5 Gen 10,2024-03-09,11693,164062,115458,10453,5417,5257,2229,885
Lenovo LOQ Gen 10,2024-03-09,9378,154687,104469,10322,6017,4629,3064,637
Apple 2025 MacBook Air,2024-03-09,11016,160071,106702,10044,6094,3755,1989,969
HP Omen,2024-03-09,9996,129015,101228,9070,5507,3915,3012,632
Legion 5 Gen 10,2024-03-10,11184,149113,106493,8673,4287,3804,2528,877
Lenovo LOQ Gen 10,2024-03-10,9811,165953,123606,13102,6638,4314,3201,1202
Apple 2025 MacBook Air,2024-03-10,12416,145784,97968,10112,6192,3876,2423,897
HP Omen,2024-03-10,10327,166428,111902,10139,4731,3865,3066,1051
Legion 5 Gen 10,2024-03-11,11166,142152,99228,10467,5035,4105,1971,694
Lenovo LOQ Gen 10,2024-03-11,8649,146482,97480,10138,6521,4643,2652,705
Apple 2025 MacBook Air,2024-03-11,12003,131152,95140,8459,4912,3407,2473,802
HP Omen,2024-03-11,10435,108307,74677,6840,3671,3025,1589,534
Legion 5 Gen 10,2024-03-12,11810,141442,106510,10586,5355,5081,2164,923
Lenovo LOQ Gen 10,2024-03-12,9512,118924,71564,7592,3917,3326,1741,561
Apple 2025 MacBook Air,2024-03-12,12260,114134,79725,7424,3799,3589,1880,612
HP Omen,2024-03-12,9653,91468,63894,6660,3848,2740,1555,524
Legion 5 Gen 10,2024-03-13,11773,127780,87412,9844,4289,3290,2052,515
Lenovo LOQ Gen 10,2024-03-13,8856,142271,107690,12336,5873,4832,3157,868
Apple 2025 MacBook Air,2024-03-13,12015,144499,110440,9084,5486,3978,2218,780
HP Omen,2024-03-13,9659,127938,106094,10414,4957,3510,2478,693
Legion 5 Gen 10,2024-03-14,11600,98817,73583,7136,4391,2585,1728,402
Lenovo LOQ Gen 10,2024-03-14,8998,134329,107056,10702,5518,3823,2234,691
Apple 2025 MacBook Air,2024-03-14,12649,122044,75851,7772,4827,3540,2273,566
HP Omen,2024-03-14,9691,146684,102820,9426,5871,4129,2949,595
Legion 5 Gen 10,2024-03-15,10036,130140,82237,9410,4216,3169,2627,847
Lenovo LOQ Gen 10,2024-03-15,9095,144198,88812,10219,4761,4038,2090,752
Apple 2025 MacBook Air,2024-03-15,12938,113533,78917,9448,5289,3199,2221,778
HP Omen,2024-03-15,9643,124506,92871,9369,5529,4140,1920,527
Legion 5 Gen 10,2024-03-16,11209,185698,119948,12961,7341,5999,3584,1039
Lenovo LOQ Gen 10,2024-03-16,9532,153900,94650,12390,5920,4814,2722,781
Apple 2025 MacBook Air,2024-03-16,11945,145748,104935,10249,5293,4454,2075,604
HP Omen,2024-03-16,9999,156477,105147,11272,6329,4973,2492,924
Legion 5 Gen 10,2024-03-17,10090,133342,90263,8042,4578,3693,1987,615
Lenovo LOQ Gen 10,2024-03-17,9328,140758,99521,11436,6480,3709,2289,773
Apple 2025 MacBook Air,2024-03-17,11928,142488,109537,8835,4406,3944,2689,708
HP Omen,2024-03-17,10385,155800,113562,11862,6251,5104,2751,731
Legion 5 Gen 10,2024-03-18,11909,150179,120659,10313,7277,4834,2205,1009
Lenovo LOQ Gen 10,2024-03-18,9471,110519,82965,8681,4287,2892,2327,646
Apple 2025 MacBook Air,2024-03-18,11868,109142,77024,9075,4237,3486,1615,580
HP Omen,2024-03-18,10408,116301,97473,7870,5403,3673,1950,644
Legion 5 Gen 10,2024-03-19,10823,132192,85591,10378,4620,4318,2054,763
Lenovo LOQ Gen 10,2024-03-19,9805,104320,74283,9160,3948,3783,2364,522
Apple 2025 MacBook Air,2024-03-19,11404,132073,100761,8401,4442,3585,2639,594
HP Omen,2024-03-19,10496,104394,78242,7227,4647,2536,1622,469
Legion 5 Gen 10,2024-03-20,10050,133015,82025,8615,4353,2942,2083,576
Lenovo LOQ Gen 10,2024-03-20,9173,135089,101951,8749,6171,4268,2230,936
Apple 2025 MacBook Air,2024-03-20,11400,122891,90132,9479,4499,3568,2237,758
HP Omen,2024-03-20,10945,113570,75282,9182,4549,2569,2260,651
Legion 5 Gen 10,2024-03-21,11331,135814,88729,9181,5377,3228,2025,821
Lenovo LOQ Gen 10,2024-03-21,9853,136604,99423,9827,4909,3095,2410,768
Apple 2025 MacBook Air,2024-03-21,12770,120372,86059,8786,3561,3216,2132,574
HP Omen,2024-03-21,11435,143998,99172,8776,5660,4532,2669,611
Legion 5 Gen 10,2024-03-22,11074,120232,76701,9573,4910,3471,2091,571
Lenovo LOQ Gen 10,2024-03-22,9045,137734,101012,11557,4532,3307,2160,777
Apple 2025 MacBook Air,2024-03-22,11830,129933,100565,10281,4682,4287,2487,688
HP Omen,2024-03-22,10025,120521,78414,7696,4369,3254,2346,744
Legion 5 Gen 10,2024-03-23,10918,148782,91793,10188,5662,4067,2713,930
Lenovo LOQ Gen 10,2024-03-23,8984,169845,108062,13154,6900,5592,2617,847
Apple 2025 MacBook Air,2024-03-23,12235,151400,110512,9209,4863,3398,2143,664
HP Omen,2024-03-23,10122,162435,119173,13602,5805,4259,3054,601
Legion 5 Gen 10,2024-03-24,11466,143029,99501,9753,6580,4834,2294,713
Lenovo LOQ Gen 10,2024-03-24,9123,129762,99640,10350,5537,3820,2028,756
Apple 2025 MacBook Air,2024-03-24,11228,132019,91933,9012,3830,4202,2149,676
HP Omen,2024-03-24,9617,159518,119945,11781,5872,4173,2647,795
Legion 5 Gen 10,2024-03-25,11458,106093,74940,9129,4873,3123,1697,435
Lenovo LOQ Gen 10,2024-03-25,8589,136738,96756,9985,5975,3308,2488,897
Apple 2025 MacBook Air,2024-03-25,11901,111750,68161,6597,4945,2427,2178,374
HP Omen,2024-03-25,10842,117761,91171,9682,5433,3479,2456,456
Legion 5 Gen 10,2024-03-26,11840,138125,92310,8243,5974,3336,2686,875
Lenovo LOQ Gen 10,2024-03-26,10070,138798,87183,11055,5587,4408,2737,786
Apple 2025 MacBook Air,2024-03-26,11797,130637,98122,7365,5133,3198,1697,507
HP Omen,2024-03-26,9795,120953,82516,9684,5525,3736,2209,575
Legion 5 Gen 10,2024-03-27,11006,138794,102829,9218,5893,3243,2870,562
Lenovo LOQ Gen 10,2024-03-27,8890,166272,117048,11831,6870,5261,2888,909
Apple 2025 MacBook Air,2024-03-27,12464,115668,89790,8275,3943,3931,1764,504
HP Omen,2024-03-27,11365,128918,93469,10584,5859,4070,2570,692
Legion 5 Gen 10,2024-03-28,10014,128123,98131,10783,5035,3253,2297,617
Lenovo LOQ Gen 10,2024-03-28,9293,123175,87964,8246,5307,3944,2469,661
Apple 2025 MacBook Air,2024-03-28,11301,120805,91812,9871,5521,3714,1836,547
