Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase,CTR,Purchase_Rate
Apple MacBook Air M2,2024-01-01,5265,82548,112856,11504,3871,2527,2527,810,0.13936134128022484,0.07041029207232267
ASUS Vivobook S 14 Flip,2024-01-01,3247,118712,69841,11779,2440,2564,1597,522,0.09922333041310061,0.0443161558706172
HP Pavilion Gaming,2024-01-01,2928,125411,77225,13398,4715,3227,1728,356,0.10683273397070432,0.02657113001940588
Lenovo Ideapad Gaming 3,2024-01-01,2892,170632,135068,11322,4832,3406,2529,803,0.06635332176848423,0.0709238650415121
Apple MacBook Air M2,2024-01-02,4936,113040,68156,11955,3493,2746,2255,523,0.10575902335456476,0.043747386030949395
ASUS Vivobook S 14 Flip,2024-01-02,3186,118338,82879,6398,3213,1815,1342,471,0.05406547347428552,0.07361675523601126
HP Pavilion Gaming,2024-01-02,3961,119435,125475,14238,4719,3003,1829,395,0.11921128647381421,0.027742660486023318
Lenovo Ideapad Gaming 3,2024-01-02,2997,160953,141657,15293,5048,3029,2324,522,0.09501531502985344,0.03413326358464657
Apple MacBook Air M2,2024-01-03,5454,124379,100781,11462,2727,2232,1945,614,0.09215382017864752,0.05356831268539522
ASUS Vivobook S 14 Flip,2024-01-03,4627,110735,74519,10973,2651,2530,2163,395,0.09909242786833432,0.03599744828214709
HP Pavilion Gaming,2024-01-03,3724,126053,88764,12585,5498,3301,1511,434,0.09983895662935433,0.034485498609455704
Lenovo Ideapad Gaming 3,2024-01-03,2622,165771,81093,14675,4468,4141,2153,955,0.08852573731231639,0.06507666098807496
Apple MacBook Air M2,2024-01-04,3787,158813,109730,8698,3827,3344,1802,490,0.054768816154848785,0.056334789606806164
ASUS Vivobook S 14 Flip,2024-01-04,3054,122409,67757,11170,3207,2742,1201,503,0.09125146026844431,0.0450313339301701
HP Pavilion Gaming,2024-01-04,3912,114596,109676,13028,3296,2823,2544,403,0.11368634158260323,0.03093337427080135
Lenovo Ideapad Gaming 3,2024-01-04,2142,120710,142319,12457,4202,4189,2040,630,0.10319774666556208,0.05057397447218431
Apple MacBook Air M2,2024-01-05,4758,116582,110841,7589,4246,2860,2693,752,0.0650958123895627,0.09909078930030307
ASUS Vivobook S 14 Flip,2024-01-05,3029,131288,92845,10281,2547,2845,1344,504,0.07830875632197916,0.04902246863145608
HP Pavilion Gaming,2024-01-05,3033,146233,70452,11566,3993,2931,1507,529,0.07909295439469888,0.045737506484523606
Lenovo Ideapad Gaming 3,2024-01-05,2751,124623,132329,13658,5270,3429,1757,1070,0.10959453712396588,0.07834236344999268
Apple MacBook Air M2,2024-01-06,4657,92273,82893,14400,4395,2272,2272,435,0.15605865204339298,0.030208333333333334
ASUS Vivobook S 14 Flip,2024-01-06,3694,85465,92475,13582,2625,2464,1404,692,0.15891885567191247,0.050949786482108676
