Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase,CTR,Conversion_Rate,CPC,CPA
IQOO Neo 10R 5G,2024-04-01,2302,91613,52701,6316,1996,1533,1533,363,6.89,5.75,0.36,6.34
Xiaomi 14 CIVI,2024-04-01,3130,127052,86275,10801,2605,2901,2240,630,8.5,5.83,0.29,4.97
Samsung Galaxy A35 5G,2024-04-01,2991,100590,73956,7811,2726,2121,1923,798,7.77,10.22,0.38,3.75
realme 15 5G,2024-04-01,2048,101232,87173,8708,2897,2134,2052,670,8.6,7.69,0.24,3.06
IQOO Neo 10R 5G,2024-04-02,2762,92166,84363,7288,3039,2210,1434,708,7.91,9.71,0.38,3.9
Xiaomi 14 CIVI,2024-04-02,3073,106980,74737,8976,2342,2067,2067,805,8.39,8.97,0.34,3.82
Samsung Galaxy A35 5G,2024-04-02,2866,119235,92750,10137,2904,2679,2358,515,8.5,5.08,0.28,5.57
realme 15 5G,2024-04-02,2359,120369,82269,7205,2639,2281,1441,672,5.99,9.33,0.33,3.51
IQOO Neo 10R 5G,2024-04-03,2755,90469,64516,8008,3205,1975,1975,705,8.85,8.8,0.34,3.91
Xiaomi 14 CIVI,2024-04-03,3051,98905,91939,9109,3115,2594,2212,810,9.21,8.89,0.33,3.77
Samsung Galaxy A35 5G,2024-04-03,2716,100156,63055,6095,2471,1685,1367,424,6.09,6.96,0.45,6.41
realme 15 5G,2024-04-03,2008,110199,87485,7763,2730,2032,1301,503,7.04,6.48,0.26,3.99
IQOO Neo 10R 5G,2024-04-04,2618,104648,67164,9745,2476,1773,1352,544,9.31,5.58,0.27,4.81
Xiaomi 14 CIVI,2024-04-04,2832,111593,88611,8425,2703,2377,2073,515,7.55,6.11,0.34,5.5
Samsung Galaxy A35 5G,2024-04-04,2534,94797,76652,7656,2835,2497,1357,646,8.08,8.44,0.33,3.92
realme 15 5G,2024-04-04,2282,105040,54772,6486,2834,2036,2036,523,6.17,8.06,0.35,4.36
IQOO Neo 10R 5G,2024-04-05,2763,118972,77233,8453,3129,2330,1820,672,7.11,7.95,0.33,4.11
Xiaomi 14 CIVI,2024-04-05,2835,119211,80312,10521,2556,2782,2119,663,8.83,6.3,0.27,4.28
Samsung Galaxy A35 5G,2024-04-05,2633,112772,86863,7528,2661,2037,2000,722,6.68,9.59,0.35,3.65
realme 15 5G,2024-04-05,2472,110337,93550,10057,2726,2145,1694,537,9.11,5.34,0.25,4.6
IQOO Neo 10R 5G,2024-04-06,2558,122607,87164,7906,3028,2145,2101,663,6.45,8.39,0.32,3.86
Xiaomi 14 CIVI,2024-04-06,3262,135741,122597,13499,3831,2993,2150,828,9.94,6.13,0.24,3.94
Samsung Galaxy A35 5G,2024-04-06,2551,115787,88522,10703,2838,2347,1586,590,9.24,5.51,0.24,4.32
realme 15 5G,2024-04-06,2112,129547,68079,8851,2923,2682,2502,653,6.83,7.38,0.24,3.23
IQOO Neo 10R 5G,2024-04-07,2329,144472,101133,11366,3718,3119,2221,836,7.87,7.36,0.2,2.79
Xiaomi 14 CIVI,2024-04-07,2922,130071,109120,8204,3115,3183,2757,660,6.31,8.04,0.36,4.43
Samsung Galaxy A35 5G,2024-04-07,2739,142862,110851,11962,3054,2545,2125,987,8.37,8.25,0.23,2.78
realme 15 5G,2024-04-07,2419,115504,102128,9445,3166,2076,1699,884,8.18,9.36,0.26,2.74
IQOO Neo 10R 5G,2024-04-08,2750,98216,75599,7059,3165,2856,2394,584,7.19,8.27,0.39,4.71
Xiaomi 14 CIVI,2024-04-08,3062,135346,96840,8069,3082,2877,1504,895,5.96,11.09,0.38,3.42
Samsung Galaxy A35 5G,2024-04-08,2536,148608,112915,11515,2870,2554,1828,739,7.75,6.42,0.22,3.43
realme 15 5G,2024-04-08,2151,116368,89527,7783,3157,2300,1931,499,6.69,6.41,0.28,4.31
IQOO Neo 10R 5G,2024-04-09,2453,97272,80849,7883,2461,1656,1337,689,8.1,8.74,0.31,3.56
Xiaomi 14 CIVI,2024-04-09,2993,92981,88175,9777,3093,2356,2275,579,10.52,5.92,0.31,5.17
Samsung Galaxy A35 5G,2024-04-09,2803,91934,84964,7885,2555,1886,1497,554,8.58,7.03,0.36,5.06
realme 15 5G,2024-04-09,2370,108086,82737,7236,3039,2398,1367,640,6.69,8.84,0.33,3.7
IQOO Neo 10R 5G,2024-04-10,2482,108903,77263,6943,2868,2025,2025,731,6.38,10.53,0.36,3.4
Xiaomi 14 CIVI,2024-04-10,2991,115130,98971,8637,2740,2538,1611,916,7.5,10.61,0.35,3.27
Samsung Galaxy A35 5G,2024-04-10,2536,108563,67143,8728,2561,1993,1925,546,8.04,6.26,0.29,4.64
