Campaign_Name,Date,Spend,Impressions,Reach,Clicks,Searches,View_Content,Add_to_Cart,Purchase
iPhone 16 128 GB,2024-03-01,6102,133588,79546,9142,5046,4028,2994,1391
Samsung Galaxy Z Flip6,2024-03-01,6214,161874,106632,10595,4321,4932,3444,1147
OnePlus 13,2024-03-01,6805,103193,75870,8014,5867,3711,2074,919
Google Pixel 10 5G,2024-03-01,6747,107437,64618,6650,5050,3513,1928,604
iPhone 16 128 GB,2024-03-02,6957,120088,102571,9129,5445,4092,2606,807
Samsung Galaxy Z Flip6,2024-03-02,6273,106067,73678,8672,5153,2673,2265,918
OnePlus 13,2024-03-02,6339,119447,92914,10155,4135,4320,1580,778
Google Pixel 10 5G,2024-03-02,6561,100952,90745,9767,4306,3788,2106,617
iPhone 16 128 GB,2024-03-03,6476,135523,91516,8717,4487,5320,3199,1141
Samsung Galaxy Z Flip6,2024-03-03,6270,140783,83612,11432,5135,3861,2119,1049
OnePlus 13,2024-03-03,6791,122355,99515,10072,4230,3263,2905,824
Google Pixel 10 5G,2024-03-03,6064,88752,79000,6960,4754,2680,2352,580
iPhone 16 128 GB,2024-03-04,6391,150665,122670,11622,4923,5393,2507,944
Samsung Galaxy Z Flip6,2024-03-04,6200,144384,90479,10763,4419,3293,2675,819
OnePlus 13,2024-03-04,6725,114674,73444,7329,4590,2893,2419,752
Google Pixel 10 5G,2024-03-04,6397,109667,80418,6275,3101,3039,2177,874
iPhone 16 128 GB,2024-03-05,6863,130817,90156,9675,5767,3443,2934,1230
Samsung Galaxy Z Flip6,2024-03-05,6159,118460,79707,10150,5274,3169,2328,1178
OnePlus 13,2024-03-05,6645,141408,108920,9440,5311,4719,3226,1353
Google Pixel 10 5G,2024-03-05,6347,111802,73110,8350,4404,3536,2037,1077
iPhone 16 128 GB,2024-03-06,6258,135043,81363,8226,4106,4471,3089,982
Samsung Galaxy Z Flip6,2024-03-06,6974,113166,98806,10783,5208,4119,2930,1334
OnePlus 13,2024-03-06,6496,129603,92291,7710,4776,3857,2372,632
Google Pixel 10 5G,2024-03-06,6001,122152,73339,7456,3737,3741,2533,814
iPhone 16 128 GB,2024-03-07,6129,148866,103156,11333,5989,4977,3616,1100
Samsung Galaxy Z Flip6,2024-03-07,6202,127602,104361,8105,6372,4846,2790,1361
OnePlus 13,2024-03-07,6906,99231,79903,6559,4006,2315,2315,916
Google Pixel 10 5G,2024-03-07,6659,102070,92335,8823,5896,3828,1717,675
iPhone 16 128 GB,2024-03-08,6819,135462,104596,10483,5961,3737,2460,1515
Samsung Galaxy Z Flip6,2024-03-08,6952,163600,97751,10620,5736,4513,2258,923
OnePlus 13,2024-03-08,6571,95279,70419,8683,3689,3323,2598,567
Google Pixel 10 5G,2024-03-08,6658,122964,93368,8544,4022,2736,1733,691
iPhone 16 128 GB,2024-03-09,6627,127782,94275,9081,5236,2984,2166,986
Samsung Galaxy Z Flip6,2024-03-09,6472,132248,80719,9811,5979,3844,2234,901
OnePlus 13,2024-03-09,6680,134417,98988,8989,4071,3970,2523,1152
Google Pixel 10 5G,2024-03-09,6134,119329,79450,6604,3385,3010,1821,808
iPhone 16 128 GB,2024-03-10,6669,146257,102928,12447,4965,3740,3598,899
Samsung Galaxy Z Flip6,2024-03-10,6797,145426,83793,8641,5418,3322,2879,1387
OnePlus 13,2024-03-10,6191,120657,104505,9191,6361,3318,2976,1083
Google Pixel 10 5G,2024-03-10,6891,146746,95354,11299,6542,2962,1913,1259
iPhone 16 128 GB,2024-03-11,6992,108272,81519,8089,5410,3769,2953,1010
Samsung Galaxy Z Flip6,2024-03-11,6792,147670,100592,10461,4519,4289,2570,1370
OnePlus 13,2024-03-11,6853,125048,77324,11343,3869,3165,2524,744
Google Pixel 10 5G,2024-03-11,6810,117537,79073,10504,5137,4377,2468,1133
iPhone 16 128 GB,2024-03-12,6920,118664,80579,9877,5021,3544,1848,1347
Samsung Galaxy Z Flip6,2024-03-12,6775,112300,80068,7604,4592,4530,2185,810
OnePlus 13,2024-03-12,6833,103860,90374,7350,3322,3919,2034,738
Google Pixel 10 5G,2024-03-12,6313,127693,89881,8950,4969,3014,2362,559
iPhone 16 128 GB,2024-03-13,6612,136239,100721,9711,4052,4176,3258,1163
Samsung Galaxy Z Flip6,2024-03-13,6822,110860,78579,9661,3851,3000,2305,762
OnePlus 13,2024-03-13,6656,123343,99318,10032,5216,5094,3381,1221
Google Pixel 10 5G,2024-03-13,6790,86239,79776,7562,3777,3555,2314,1016
iPhone 16 128 GB,2024-03-14,6801,128445,85663,8601,4509,4281,2910,1076
Samsung Galaxy Z Flip6,2024-03-14,6703,114491,87990,9890,5830,4579,2773,816
OnePlus 13,2024-03-14,6996,118690,98632,11460,5248,3975,2954,766
Google Pixel 10 5G,2024-03-14,6452,119140,72639,8360,5457,2605,1755,1001
iPhone 16 128 GB,2024-03-15,6253,151305,102634,9416,5563,4677,3005,942
Samsung Galaxy Z Flip6,2024-03-15,6761,126543,73895,8986,4194,3613,2016,622
OnePlus 13,2024-03-15,6758,137938,104438,8314,6010,4210,2581,1330
Google Pixel 10 5G,2024-03-15,6674,118313,82825,6775,4394,3263,2445,492
iPhone 16 128 GB,2024-03-16,6396,132861,81070,10755,4494,2869,2577,840
Samsung Galaxy Z Flip6,2024-03-16,6921,132556,89725,11180,4461,3082,2555,946
OnePlus 13,2024-03-16,6625,113890,73467,6694,3818,3432,2366,1151
Google Pixel 10 5G,2024-03-16,6456,124491,75728,8842,4115,3686,2358,566
iPhone 16 128 GB,2024-03-17,6189,154049,109827,11973,5605,3311,2238,1083
Samsung Galaxy Z Flip6,2024-03-17,6595,94478,79138,6737,3837,3278,1686,1118
OnePlus 13,2024-03-17,6232,123813,73782,7225,5291,3200,2321,977
Google Pixel 10 5G,2024-03-17,6505,108094,78887,7943,3867,3601,2632,1041
iPhone 16 128 GB,2024-03-18,6150,105084,92964,7859,5338,4090,2658,854
Samsung Galaxy Z Flip6,2024-03-18,6222,168234,96206,12243,5746,4028,2319,1547
OnePlus 13,2024-03-18,6008,119792,84629,9243,4885,3582,2704,745
Google Pixel 10 5G,2024-03-18,6794,109762,87368,7736,5076,3356,1768,1103
iPhone 16 128 GB,2024-03-19,6832,148219,95432,10415,4852,4680,2384,1183
Samsung Galaxy Z Flip6,2024-03-19,6069,118196,83804,8224,4421,2620,1669,1086
OnePlus 13,2024-03-19,6450,106854,66200,6866,4200,3685,2374,1115
Google Pixel 10 5G,2024-03-19,6828,116863,72343,8204,5465,4167,1791,668
iPhone 16 128 GB,2024-03-20,6507,161431,113382,9622,5374,4289,3424,1017
Samsung Galaxy Z Flip6,2024-03-20,6684,152324,88217,9543,5707,3304,3082,1046
OnePlus 13,2024-03-20,6228,118068,78673,9863,5249,3524,2747,1055
Google Pixel 10 5G,2024-03-20,6512,97021,82968,6877,4178,3604,2205,845
iPhone 16 128 GB,2024-03-21,6667,153460,91579,9606,4191,4788,2764,1142
Samsung Galaxy Z Flip6,2024-03-21,6731,137971,96859,7694,5366,3082,2575,788
OnePlus 13,2024-03-21,6723,153837,99089,11299,5766,4619,3264,1122
Google Pixel 10 5G,2024-03-21,6255,101348,84509,8574,5785,2344,2344,752
iPhone 16 128 GB,2024-03-22,6004,116540,102465,8063,5963,3103,3103,939
Samsung Galaxy Z Flip6,2024-03-22,6281,101618,93388,10170,3995,3813,1694,710
OnePlus 13,2024-03-22,6404,132489,84877,9229,5300,4505,2430,1062
Google Pixel 10 5G,2024-03-22,6564,96543,63631,9141,2991,3161,2377,525
iPhone 16 128 GB,2024-03-23,6000,131266,99883,9066,4258,3714,2381,797
Samsung Galaxy Z Flip6,2024-03-23,6071,137641,101314,9036,4684,3225,2841,1111
OnePlus 13,2024-03-23,6053,107777,78109,9976,4236,4321,1988,1215
Google Pixel 10 5G,2024-03-23,6918,85752,64142,9337,3364,2115,1723,536
iPhone 16 128 GB,2024-03-24,6763,156654,85318,9154,6029,4781,2744,1112
Samsung Galaxy Z Flip6,2024-03-24,6446,116478,89837,7507,3841,4170,2696,1001
OnePlus 13,2024-03-24,6758,119746,67017,6208,4985,3413,2568,962
Google Pixel 10 5G,2024-03-24,6068,112645,67254,7929,4308,2308,1498,499
iPhone 16 128 GB,2024-03-25,6882,114136,87820,10607,5552,4514,3070,1192
Samsung Galaxy Z Flip6,2024-03-25,6899,117644,71782,7489,3569,3183,1705,1222
OnePlus 13,2024-03-25,6788,123283,93313,7714,4242,4415,2164,1018
Google Pixel 10 5G,2024-03-25,6644,117736,71888,7805,5084,3745,2282,502
iPhone 16 128 GB,2024-03-26,6046,108748,78542,8931,4410,2908,1828,735
Samsung Galaxy Z Flip6,2024-03-26,6025,118766,97681,7808,5468,3917,2420,963
OnePlus 13,2024-03-26,6725,93605,85364,6050,4843,3219,1691,1089
